# Luminosity Distances for Increasing Redshifts
# Redshift, Luminosity Distance
0.0142,38.3730847579
0.0143,38.3897760528
0.0144,38.4063592382
0.0145,38.4228357874
0.0146,38.4392071432
0.0147,38.4554747188
0.0148,38.471639899
0.0149,38.4877040406
0.015,38.503668473
0.0151,38.5195344995
0.0152,38.5353033975
0.0153,38.5509764191
0.0154,38.5665547925
0.0155,38.5820397216
0.0156,38.5974323873
0.0157,38.6127339482
0.0158,38.6279455404
0.0159,38.643068279
0.016,38.6581032578
0.0161,38.6730515504
0.0162,38.6879142106
0.0163,38.7026922726
0.0164,38.7173867518
0.0165,38.7319986451
0.0166,38.7465289314
0.0167,38.7609785719
0.0168,38.7753485108
0.0169,38.7896396755
0.017,38.8038529769
0.0171,38.8179893101
0.0172,38.8320495544
0.0173,38.8460345741
0.0174,38.8599452184
0.0175,38.873782322
0.0176,38.8875467054
0.0177,38.9012391752
0.0178,38.9148605245
0.0179,38.9284115328
0.018,38.9418929671
0.0181,38.9553055813
0.0182,38.968650117
0.0183,38.9819273038
0.0184,38.9951378591
0.0185,39.008282489
0.0186,39.021361888
0.0187,39.0343767397
0.0188,39.0473277166
0.0189,39.0602154805
0.019,39.0730406831
0.0191,39.0858039654
0.0192,39.0985059588
0.0193,39.1111472846
0.0194,39.1237285549
0.0195,39.1362503719
0.0196,39.1487133291
0.0197,39.1611180105
0.0198,39.1734649916
0.0199,39.1857548391
0.02,39.1979881113
0.0201,39.2101653582
0.0202,39.2222871215
0.0203,39.2343539349
0.0204,39.2463663246
0.0205,39.2583248088
0.0206,39.2702298982
0.0207,39.2820820963
0.0208,39.293881899
0.0209,39.3056297956
0.021,39.3173262681
0.0211,39.3289717916
0.0212,39.3405668347
0.0213,39.3521118594
0.0214,39.3636073211
0.0215,39.375053669
0.0216,39.3864513461
0.0217,39.3978007891
0.0218,39.4091024289
0.0219,39.4203566904
0.022,39.4315639929
0.0221,39.4427247499
0.0222,39.4538393692
0.0223,39.4649082533
0.0224,39.4759317995
0.0225,39.4869103994
0.0226,39.4978444397
0.0227,39.5087343021
0.0228,39.519580363
0.0229,39.5303829941
0.023,39.5411425622
0.0231,39.5518594294
0.0232,39.5625339531
0.0233,39.5731664862
0.0234,39.5837573769
0.0235,39.5943069691
0.0236,39.6048156025
0.0237,39.6152836122
0.0238,39.6257113294
0.0239,39.636099081
0.024,39.6464471898
0.0241,39.6567559747
0.0242,39.6670257507
0.0243,39.6772568287
0.0244,39.6874495161
0.0245,39.6976041164
0.0246,39.7077209294
0.0247,39.7178002513
0.0248,39.7278423747
0.0249,39.7378475889
0.025,39.7478161795
0.0251,39.7577484288
0.0252,39.7676446158
0.0253,39.7775050161
0.0254,39.7873299021
0.0255,39.7971195432
0.0256,39.8068742054
0.0257,39.8165941518
0.0258,39.8262796423
0.0259,39.835930934
0.026,39.8455482808
0.0261,39.855131934
0.0262,39.8646821418
0.0263,39.8741991497
0.0264,39.8836832005
0.0265,39.893134534
0.0266,39.9025533876
0.0267,39.9119399959
0.0268,39.921294591
0.0269,39.9306174023
0.027,39.9399086568
0.0271,39.9491685789
0.0272,39.9583973906
0.0273,39.9675953115
0.0274,39.9767625587
0.0275,39.9858993471
0.0276,39.9950058892
0.0277,40.0040823952
0.0278,40.0131290731
0.0279,40.0221461287
0.028,40.0311337655
0.0281,40.040092185
0.0282,40.0490215864
0.0283,40.0579221669
0.0284,40.0667941217
0.0285,40.0756376439
0.0286,40.0844529246
0.0287,40.0932401529
0.0288,40.1019995159
0.0289,40.1107311988
0.029,40.1194353851
0.0291,40.1281122562
0.0292,40.1367619916
0.0293,40.1453847692
0.0294,40.153980765
0.0295,40.1625501531
0.0296,40.1710931062
0.0297,40.1796097948
0.0298,40.1881003882
0.0299,40.1965650535
0.03,40.2050039566
0.0301,40.2134172615
0.0302,40.2218051307
0.0303,40.230167725
0.0304,40.2385052038
0.0305,40.2468177248
0.0306,40.2551054442
0.0307,40.2633685167
0.0308,40.2716070956
0.0309,40.2798213326
0.031,40.2880113779
0.0311,40.2961773805
0.0312,40.3043194877
0.0313,40.3124378458
0.0314,40.3205325992
0.0315,40.3286038913
0.0316,40.336651864
0.0317,40.3446766581
0.0318,40.3526784128
0.0319,40.3606572662
0.032,40.3686133549
0.0321,40.3765468145
0.0322,40.3844577792
0.0323,40.3923463821
0.0324,40.4002127549
0.0325,40.4080570281
0.0326,40.4158793313
0.0327,40.4236797926
0.0328,40.4314585392
0.0329,40.4392156968
0.033,40.4469513904
0.0331,40.4546657436
0.0332,40.4623588789
0.0333,40.470030918
0.0334,40.4776819811
0.0335,40.4853121877
0.0336,40.492921656
0.0337,40.5005105033
0.0338,40.5080788458
0.0339,40.5156267987
0.034,40.5231544763
0.0341,40.5306619917
0.0342,40.5381494573
0.0343,40.5456169842
0.0344,40.5530646829
0.0345,40.5604926626
0.0346,40.5679010318
0.0347,40.5752898981
0.0348,40.582659368
0.0349,40.5900095472
0.035,40.5973405406
0.0351,40.604652452
0.0352,40.6119453845
0.0353,40.6192194404
0.0354,40.6264747208
0.0355,40.6337113264
0.0356,40.6409293568
0.0357,40.6481289108
0.0358,40.6553100864
0.0359,40.6624729808
0.036,40.6696176906
0.0361,40.6767443112
0.0362,40.6838529375
0.0363,40.6909436637
0.0364,40.698016583
0.0365,40.7050717879
0.0366,40.7121093704
0.0367,40.7191294214
0.0368,40.7261320314
0.0369,40.7331172898
0.037,40.7400852857
0.0371,40.7470361073
0.0372,40.7539698419
0.0373,40.7608865766
0.0374,40.7677863973
0.0375,40.7746693895
0.0376,40.781535638
0.0377,40.7883852269
0.0378,40.7952182397
0.0379,40.8020347592
0.038,40.8088348676
0.0381,40.8156186463
0.0382,40.8223861763
0.0383,40.8291375379
0.0384,40.8358728107
0.0385,40.8425920739
0.0386,40.8492954057
0.0387,40.8559828842
0.0388,40.8626545866
0.0389,40.8693105895
0.039,40.875950969
0.0391,40.8825758008
0.0392,40.8891851597
0.0393,40.8957791201
0.0394,40.902357756
0.0395,40.9089211405
0.0396,40.9154693465
0.0397,40.9220024461
0.0398,40.9285205111
0.0399,40.9350236125
0.04,40.9415118211
0.0401,40.9479852069
0.0402,40.9544438395
0.0403,40.960887788
0.0404,40.967317121
0.0405,40.9737319067
0.0406,40.9801322125
0.0407,40.9865181055
0.0408,40.9928896526
0.0409,40.9992469196
0.041,41.0055899725
0.0411,41.0119188762
0.0412,41.0182336957
0.0413,41.0245344951
0.0414,41.0308213383
0.0415,41.0370942886
0.0416,41.043353409
0.0417,41.049598762
0.0418,41.0558304096
0.0419,41.0620484134
0.042,41.0682528346
0.0421,41.074443734
0.0422,41.0806211718
0.0423,41.086785208
0.0424,41.0929359021
0.0425,41.0990733132
0.0426,41.1051974999
0.0427,41.1113085205
0.0428,41.117406433
0.0429,41.1234912947
0.043,41.1295631628
0.0431,41.135622094
0.0432,41.1416681446
0.0433,41.1477013705
0.0434,41.1537218273
0.0435,41.1597295702
0.0436,41.165724654
0.0437,41.1717071331
0.0438,41.1776770616
0.0439,41.1836344933
0.044,41.1895794816
