#OK
#SQL= select * from centralsClustersone
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2012-06-15 16:43:01.934 CEST
#QUERYTIME 2 millisec
#COLUMN 1 name=HaloId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=firstHaloInFOFgroupId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=m_Crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=subHaloID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=velDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=fofID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 7 name=r_mean200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=mMean200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=r_crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=r_tophat200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=m_tophat200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=type JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 13 name=r_mag JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=galaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 15 name=halo_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=halo_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=halo_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=halo_vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=halo_vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=halo_vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=ra JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=dec JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=z_app JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=z_geo JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=SDSS_r JDBC_TYPE=7 JDBC_TYPENAME=real
#HaloId,firstHaloInFOFgroupId,m_Crit200,subHaloID,velDisp,fofID,r_mean200,mMean200,r_crit200,r_tophat200,m_tophat200,type,r_mag,galaxyID,halo_x,halo_y,halo_z,halo_vx,halo_vy,halo_vz,ra,dec,z_app,z_geo,SDSS_r
206000104000002,206000104000002,10364.286,61020600000251,496.72058,61020600000003,1.3470432,14209.356,0.7871063,1.0759078,12904.084,0,-23.791355,206000104000002,426.34933,56.623974,30.703552,35.291874,195.1871,299.6299,142.44626,18.288494,0.033693194,0.033071876,11.952389
78000111000002,78000111000002,48717.13,61007500000000,870.2363,61007500000000,2.2530773,66487.45,1.3185064,1.7885046,59273.86,0,-24.404922,78000111000002,1.5883992,457.25192,88.92899,296.42944,98.43756,-442.83734,-87.87203,64.31101,0.0318501,0.033355117,11.359001
202000057000002,202000057000002,8429.271,61020100000732,449.0995,61020100000005,1.3930252,15713.956,0.7347147,1.0744131,12850.379,0,-23.219551,202000057000002,469.68066,6.3605547,93.92003,155.4606,512.05005,606.9776,168.152,71.74496,0.035362482,0.033427596,12.554646
206000102000002,206000102000002,13931.192,61020600000096,636.26764,61020600000001,1.4329468,17104.262,0.8686303,1.1497729,15748.124,0,-22.1335,206000102000002,412.90286,16.962435,45.70322,110.74242,187.96786,-15.880969,168.97943,27.251257,0.033488512,0.033736467,13.660435
328000065000002,328000065000002,20073.355,61032900001104,654.48785,61032900000004,1.5942193,23553.506,0.9811336,1.291818,22336.365,0,-23.536665,328000065000002,499.05063,402.3759,478.5993,-76.61501,152.78142,-330.36514,-90.55717,-12.363958,0.033514023,0.033782005,12.329573
439000173000002,439000173000002,13005.298,61044000000312,527.1304,61044000000002,1.4635832,18224.922,0.8489684,1.1538758,15917.932,0,-23.78011,439000173000002,42.814877,410.77573,485.9745,141.83434,215.67384,-222.87082,-64.36566,-8.066346,0.033438206,0.03378451,12.026283
79000160000002,79000160000002,16731.598,61007600000192,557.6914,61007600000001,1.6296519,25158.717,0.9233517,1.2789452,21674.52,0,-23.275269,79000160000002,31.97779,435.20615,69.96756,-445.20786,207.90158,-261.36252,-63.732224,44.07846,0.032419443,0.03399563,12.521437
206000106000002,206000106000002,8390.887,61020600000396,439.1316,61020600000005,1.2642522,11746.673,0.73359287,0.9989073,10326.934,0,-23.375746,206000106000002,400.28925,15.059447,9.231869,402.56253,15.027926,-42.082077,171.41145,5.2307477,0.032854557,0.034226537,12.505062
202000057006437,202000057006437,21728.225,61020200000000,612.803,61020200000000,1.7931648,33516.9,1.0073858,1.394973,28125.918,0,-23.919563,202000057022500,470.14212,9.908384,96.35205,10.641692,122.09914,-76.28361,161.6415,71.918106,0.034038782,0.034258485,11.8976
504000079000002,504000079000002,9059.53,61050500000512,436.8508,61050500000003,1.3461454,14180.266,0.75257874,1.0295503,11306.705,0,-23.334936,504000079000002,55.435654,22.670177,417.6714,-132.4677,19.576036,-345.84402,22.241901,-53.96506,0.035141468,0.034410834,12.519186
436000080000002,436000080000002,9397.597,61043600001492,456.23123,61043600000010,1.3054191,12933.002,0.7618146,1.0237389,11117.103,0,-22.803677,436000080000002,66.58417,435.40884,457.45383,78.20688,-196.27423,218.23927,-44.129547,-24.63815,0.034785032,0.03449452,13.035107
311001693000002,311001693000002,94218.24,61031300000000,1053.9905,61031300000000,2.719575,116924.17,1.6427307,2.1770227,106902.17,0,-24.305527,311001693000002,460.52805,85.24225,458.49274,254.08609,77.161644,148.92421,114.846794,-23.838713,0.034387827,0.03471136,11.565052
78000112000002,78000112000002,22304.607,61007500000313,637.6536,61007500000001,1.8134497,34667.082,1.0162057,1.3952348,28141.322,0,-23.905062,78000112000002,32.09332,482.98,96.59827,-335.71393,-187.26807,-247.25507,-27.938265,69.390526,0.03382969,0.03488159,11.957596
7026982000491,7026982000491,8945.149,61020200000645,434.91147,61020200000005,1.293054,12567.998,0.7493939,1.0366352,11543.645,0,-22.359102,7026982000036,498.80954,12.227355,102.704506,44.156918,32.049408,-6.795367,95.560814,83.17887,0.03494847,0.03496039,13.507061
200000074000002,200000074000002,9261.183,61019900000943,457.24658,61019900000005,1.3536966,14420.131,0.7581269,1.0307187,11345.349,0,-23.238876,200000074000002,481.83185,97.703125,29.179596,-696.9941,87.655365,375.04346,100.53399,16.363417,0.036078095,0.035006523,12.63554
1000017000002,1000017000002,11465.152,61000100000348,478.81818,61000100000002,1.4339843,17141.098,0.8140402,1.121185,14603.451,0,-23.308737,1000017000002,44.437897,93.751,2.9303925,-154.72643,-70.333885,-42.695614,64.639084,1.6178812,0.034628153,0.035080075,12.572035
334000065000002,334000065000002,13613.352,61033500000000,516.8503,61033500000000,1.5880742,23281.625,0.8619925,1.2091246,18316.668,0,-23.477566,334000065000002,456.65652,489.0513,406.24496,135.2164,46.077633,-290.1639,-165.82347,-64.50693,0.03579831,0.035106063,12.401461
308002276000002,308002276000002,11973.973,61031000000358,476.71902,61031000000001,1.4963696,19477.35,0.8259133,1.1491641,15723.424,0,-24.119316,308002276000002,462.75153,72.68202,435.16986,269.39493,250.78806,24.898241,117.13448,-38.442474,0.03546095,0.035243273,11.760349
504012514000002,504012514000002,9523.253,61050500000606,463.28745,61050500000004,1.3152313,13225.626,0.765208,1.0430436,11758.206,0,-22.059563,504012514000002,37.917408,8.859822,401.78238,-381.10507,-101.70559,-306.21683,13.15183,-68.37396,0.036191106,0.035709977,13.85607
436023046001636,436023046001636,7561.644,61043900001131,425.6724,61043900000008,1.2239918,10659.578,0.70858747,0.9557164,9044.642,0,-23.61193,436023046000098,84.993546,440.36093,478.75793,-286.31262,-295.06647,-553.1812,-35.056934,-11.562281,0.035983562,0.035820246,12.30983
507000122000002,507000122000002,9138.194,61050700000541,493.21298,61050700000005,1.2518677,11404.82,0.75475407,0.99886274,10325.471,0,-23.249245,507000122000002,72.522675,33.53129,429.46832,-254.33382,-90.54558,-77.74171,24.813742,-41.436714,0.03550315,0.03602159,12.682774
328011817000002,328011817000002,12889.711,61033000000318,512.5468,61033000000001,1.5807283,22960.256,0.84644747,1.2236186,18981.611,0,-23.050484,328011817000002,458.43546,403.43152,479.94464,37.413868,-146.30688,-334.47092,-113.28778,-10.800022,0.036796927,0.036174774,12.885622
200000070000002,200000070000002,27053.367,61019900000257,652.1574,61019900000001,1.8573956,37249.31,1.0837446,1.4688172,32833.02,0,-23.875908,200000070000002,470.1206,90.215965,49.591225,67.207855,-365.6343,-87.46158,108.32479,27.556421,0.034963608,0.03623092,12.085859
311001699000002,311001699000002,7503.7217,61031200000399,444.5347,61031200000005,1.1969566,9969.245,0.7067626,0.9525068,8953.928,0,-23.335936,311001699000002,445.77744,92.04806,486.74536,439.17126,-28.87203,102.68126,120.500984,-7.072586,0.035491467,0.036384583,12.62134
309001074000002,309001074000002,7854.8696,61031100001090,443.0489,61031100000006,1.2795262,12178.034,0.71762615,1.0166293,10886.36,0,-23.071083,309001074000002,439.9752,14.044265,411.49832,189.91226,-166.46977,-303.98895,166.83116,-55.14083,0.036875486,0.036453843,12.891129
334006328000002,334006328000002,11489.509,61033600000460,498.6635,61033600000002,1.4396187,17343.781,0.814619,1.1193604,14531.242,0,-23.334627,334006328000002,492.7523,470.83978,396.24454,-155.96667,252.80122,-915.544,-103.95791,-73.84905,0.039347887,0.036509156,12.649239
311001694031859,311001694031859,9062.371,61031300000812,436.45187,61031300000002,1.7270904,29946.723,0.75264615,1.2101537,18362.455,0,-23.234928,311001694069789,464.60992,100.259895,479.1935,74.8631,-146.87761,479.73193,109.442184,-11.072398,0.035745025,0.036617517,12.748037
200000071000002,200000071000002,17897.443,61019900000470,578.25977,61019900000002,1.7175233,29452.361,0.94431174,1.3526772,25643.354,0,-23.747229,200000071000002,475.1787,101.76109,30.45305,-111.036476,-300.06586,204.70456,103.70776,16.211071,0.036185622,0.036868334,12.242954
328011825000002,328011825000002,10185.614,61033000001169,460.82285,61033000000009,1.322639,13450.429,0.78255695,1.0679785,12620.928,0,-22.925076,328011825000002,438.7513,419.8769,458.31854,643.1933,-37.254715,284.76236,-127.39546,-22.454992,0.035354257,0.036883354,13.060078
200000072000002,200000072000002,22440.936,61019900000641,676.11554,61019900000003,1.7079082,28959.72,1.0182725,1.3671217,26473.715,0,-23.438843,200000072000002,493.4632,98.03742,48.2868,-419.36096,-116.32218,-5.0310254,93.814644,26.171494,0.036721587,0.037002802,12.607674
7014660000002,7014660000002,8801.851,61000700000506,459.61462,61000700000005,1.2622888,11692.107,0.7453802,1.0094967,10659.147,0,-23.38812,7014660000002,57.53025,13.617573,92.2325,-357.75574,-168.53122,18.044909,13.316975,57.340607,0.036358714,0.037027955,12.633474
1000016000002,1000016000002,15022.935,61000100000235,585.7615,61000100000001,1.4722499,18550.768,0.8907768,1.1913445,17519.613,0,-23.025007,1000016000002,61.894054,82.58009,37.56971,-310.51138,-21.201506,-37.088608,53.14832,20.00382,0.036416173,0.037120104,12.976826
176003242000853,176003242000853,7552.0903,61017500000837,457.3955,61017500000009,1.1882164,9752.704,0.70827943,0.9428757,8685.231,0,-22.695318,176003242000002,449.8991,437.60883,75.45098,460.25253,96.88875,-186.79628,-128.7649,43.317654,0.035814166,0.03717208,13.289511
202013621000002,202013621000002,7596.9307,61020200000729,422.37814,61020200000006,1.1853335,9683.507,0.7096876,0.9479526,8826.723,0,-23.388184,202013621000002,456.95712,21.448046,99.11695,25.303244,-39.73724,337.3402,153.51317,64.117775,0.03822398,0.0372355,12.625122
202013620000002,202013620000002,7399.238,61020200000535,408.90692,61020200000004,1.2482764,11306.964,0.7034716,0.97591734,9630.146,0,-22.657118,202013620000002,469.80072,19.202633,104.25821,23.037752,-163.09468,-34.019226,147.5492,71.05484,0.037025213,0.03725648,13.359301
76000034000002,76000034000002,8408.271,61007300001022,440.0546,61007300000008,1.2522435,11414.976,0.73409325,1.0019096,10420.401,0,-23.223087,76000034000002,79.49136,432.0214,64.87481,-723.3116,-49.34585,16.482946,-40.53606,31.809336,0.040108204,0.041605353,13.036951
6000037000002,6000037000002,34610.707,61000500000000,702.6603,61000500000000,2.138877,56880.027,1.1764976,1.6518737,46700.78,0,-23.867126,6000037000002,0.6953503,86.109055,87.9936,182.32999,-11.069316,233.6716,89.53733,45.619232,0.042174935,0.041618347,12.455515
504000078000002,504000078000002,8124.255,61050400000263,445.79633,61050400000001,1.3456581,14164.946,0.7257437,1.0130296,10771.119,0,-23.720423,504000078000002,21.42418,17.88623,379.50128,-404.5183,-244.90218,-529.85425,39.857216,-76.95951,0.043237805,0.041811585,12.532501
309000110000268,309000110000268,47102.45,61031000000000,792.3552,61031000000000,2.3018956,70902.27,1.3037763,1.8091041,61345.89,0,-24.205421,309000110000315,483.56232,44.050743,385.43973,83.97312,-287.54285,-281.99667,110.46323,-67.685814,0.042372704,0.04186058,12.110134
333009596000002,333009596000002,12890.228,61033400001233,500.96146,61033400000005,1.4392453,17330.441,0.8464639,1.1453959,15569.452,0,-23.051062,333009596000002,405.5833,486.32986,420.9671,124.2065,-8.115348,-483.30252,-171.76166,-39.639263,0.042623162,0.041878104,13.251232
309001071000002,309001071000002,8078.21,61031100000656,408.59515,61031100000003,1.2798499,12186.469,0.7243637,0.98363376,9860.458,0,-22.207796,309001071000002,446.1324,48.018528,399.1324,424.17468,-618.06647,-346.64783,138.28564,-54.4192,0.041433096,0.041924953,14.075621
309001072000002,309001072000002,14123.807,61031100000951,519.00085,61031100000005,1.5240451,20577.613,0.8726439,1.1888034,17407.041,0,-23.279018,309001072000002,493.31406,39.48568,382.32693,-111.48678,-185.8345,-225.55527,99.6105,-71.20499,0.04257655,0.04201901,13.004839
328000064000002,328000064000002,29363.973,61032900000815,681.40265,61032900000002,1.8758647,38371.605,1.1137632,1.5082902,35550.63,0,-24.087275,328000064000002,443.07953,395.6813,463.3437,482.39563,418.94513,-130.12901,-118.61865,-17.14278,0.040185332,0.042039752,12.330259
2003102000002,2003102000002,8995.498,61000200000231,452.9227,61000200000003,1.278094,12136.637,0.75080365,1.005982,10547.864,0,-23.33241,2003102000002,104.77047,64.47214,24.17083,-47.745728,76.58199,-164.4273,31.60671,11.115963,0.04226923,0.042381167,12.990549
181000083000002,181000083000002,9035.862,61017900000319,456.04382,61017900000001,1.3749276,15109.518,0.7519285,1.0675921,12607.933,0,-22.777855,181000083000002,388.38748,480.64752,54.242493,198.66606,194.48947,127.70809,-170.16328,25.58718,0.04193139,0.042457342,13.528099
77000102000002,77000102000002,10312.131,61007400000290,506.54727,61007400000003,1.3264414,13566.618,0.78573143,1.0559509,12199.12,0,-23.44258,77000102000002,91.781975,471.71024,81.204636,-324.82523,-101.18802,167.14856,-17.130758,40.214645,0.042147517,0.042517066,12.871073
203000133000002,203000133000002,12184.661,61020200000329,515.48444,61020200000002,1.4674755,18370.977,0.83069086,1.1508994,15794.6,0,-23.12177,203000133000002,495.75793,98.991714,78.072044,-184.46376,-266.0036,289.9132,92.45378,38.23632,0.04256344,0.042643785,13.24296
2003100000002,2003100000002,10333.991,61000200000072,478.16333,61000200000001,1.3323482,13748.561,0.7863325,1.0649161,12512.571,0,-23.675083,2003100000002,104.242325,71.02486,2.7150319,-50.921158,52.165085,0.4001966,34.268314,1.2330534,0.042607307,0.042651415,12.664717
430009599000130,430009599000130,23450.227,61043300000000,635.0087,61043300000000,1.7670056,32071.426,1.0333239,1.3919623,27943.543,0,-24.32821,430009599000109,28.19829,487.1632,377.28314,-196.24675,293.45682,-458.83408,-24.476595,-75.8305,0.044077635,0.042786717,12.014019
305000063000002,305000063000002,21062.336,61030700000205,613.64215,61030700000001,1.7260604,29893.104,0.9969875,1.3459384,25262.684,0,-23.604742,305000063000002,389.00244,10.510931,440.0244,-242.52731,-181.61908,-385.62143,174.5905,-28.276966,0.044119954,0.04279828,12.726688
